id,title,description,link,image_link,availability,price,sale_price,brand,condition,google_product_category,identifier_exists,shipping_country,shipping_price
toutia,Toutia Ismailiya — Déodorant Naturel Pierre du Sahara,"Pierre naturelle du Sud-Est marocain utilisée depuis l'Antiquité comme déodorant naturel. Sans aluminium, anti-bactérien, hypoallergénique. 1 pot = 1 mois d'utilisation. Neutralise les odeurs sans bloquer la transpiration. Pour hommes et femmes.",https://www.dakhlaartisanal.com/produit/toutia,https://www.dakhlaartisanal.com/images/toutia/toutia.jpg,in stock,169.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Deodorant & Antiperspirant,no,MA,0.00 MAD
shampoing,Secret d'Atlas Shampoing Naturel — Triple Certification ISO GMP OCP,"Shampoing 100% naturel aux extraits de plantes de l'Atlas marocain. Formule unique avec huile d'argan bio, eau de rose de Damas et protéines de kératine végétale. Nettoie, renforce et stimule la pousse. Résultats visibles en 3 semaines. Triple certification ISO 9001, GMP, OCP.",https://www.dakhlaartisanal.com/produit/shampoing,https://www.dakhlaartisanal.com/images/shampoing.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Hair Care > Shampoo,no,MA,0.00 MAD
elixir,ELIXIR+ Vigueur — Complément Alimentaire 5 Actifs Naturels,"Complément alimentaire le plus complet du Maroc avec 5 actifs naturels prouvés : Ginseng rouge, Maca du Pérou, Tribulus terrestris, L-Arginine et Zinc. 60 gélules 100% végétales. Formule exclusive élaborée avec des laboratoires marocains. Sans effets secondaires.",https://www.dakhlaartisanal.com/produit/elixir,https://www.dakhlaartisanal.com/images/elixir-1.jpg,in stock,229.00 MAD,229.00 MAD,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
masque,Masque Trésor du Désert — Masque Hydratant Cheveux 200g,"Masque cheveux 100% naturel aux mélanges secrets du Sahara Marocain. Riche en Cacao, Karité et Huile de Coco pour une hydratation profonde. Répare les cheveux abîmés et leur redonne brillance et souplesse. 200g = 8 à 10 applications. Avant/Après visible dès la 1ère utilisation.",https://www.dakhlaartisanal.com/produit/masque,https://www.dakhlaartisanal.com/images/masque-1.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Hair Care > Hair Conditioner,no,MA,0.00 MAD
biotin,MAX Biotin — Cheveux Forts et Brillants Biotine Pure 10000mcg,"Complément alimentaire 100% naturel riche en biotine pure (10000 mcg) et herbes sahariennes. Stimule la pousse des cheveux, réduit la chute, renforce les ongles et embellit la peau. Certifié ISO. Résultats visibles en 3-4 semaines. 60 capsules.",https://www.dakhlaartisanal.com/produit/biotin,https://www.dakhlaartisanal.com/images/biotin-1.jpg,in stock,119.00 MAD,119.00 MAD,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
huile,Huile Secret d'Atlas 60ml — 7 Huiles Naturelles du Sahara,"Synergie de 7 huiles naturelles du Sahara Marocain : argan, ricin, amande douce, jojoba, nigelle, sésame et rose musquée. Nourrit, restructure et protège les cheveux. Brillance naturelle garantie. Flacon 60ml dure 2-3 mois.",https://www.dakhlaartisanal.com/produit/huile,https://www.dakhlaartisanal.com/images/huile-1.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Hair Care > Hair Treatment,no,MA,0.00 MAD
serumint,Sérum Zone Intime — pH 3 Acide Glycolique Aloe Vera Vitamine C,"Soin doux et efficace spécialement conçu pour les zones sensibles. À pH 3 équilibré, combine acide glycolique naturel, gel d'aloe vera bio et vitamine C stabilisée. Unifie le teint, adoucit et hydrate sans irritation. Formule gynécologiquement testée. 50ml.",https://www.dakhlaartisanal.com/produit/serumint,https://www.dakhlaartisanal.com/images/serumintime-1.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Feminine Sanitary Supplies,no,MA,0.00 MAD
spray,Spray Anti-Chute — Fortifiant Naturel Romarin Menthe Caféine 100ml,"Traitement fortifiant quotidien qui agit directement sur les racines pour réduire la chute et stimuler la repousse. Formule aux extraits de romarin, menthe poivrée et caféine. Tonifie le cuir chevelu et revitalise les follicules pileux. Résultats visibles en 2 mois. 100ml.",https://www.dakhlaartisanal.com/produit/spray,https://www.dakhlaartisanal.com/images/spray-1.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Hair Care > Hair Treatment,no,MA,0.00 MAD
floro,Floro Calm — Complément Articulaire Curcuma Calcium Fluor 60 Capsules,"Complément naturel pour les articulations enrichi au Curcuma, Graines de Lin, Fluor et Calcium. Soulage les douleurs articulaires, réduit les inflammations et améliore la mobilité. Idéal pour arthrose, raideurs matinales et douleurs chroniques. 60 capsules = 1 mois.",https://www.dakhlaartisanal.com/produit/floro,https://www.dakhlaartisanal.com/images/floro-calm-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
vitamin-c-spirulina,Vitamine C + Spirulina — Immunité et Énergie 60 Capsules,"Complément alimentaire 100% naturel combinant Vitamine C (500mg) et Spiruline bio (200mg). Booste l'immunité, augmente l'énergie, réduit la fatigue et protège contre le stress oxydatif. Idéal pour fatigue chronique et faiblesse immunitaire. 60 capsules = 1 mois.",https://www.dakhlaartisanal.com/produit/vitamin-c-spirulina,https://www.dakhlaartisanal.com/images/vitamin-c-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
shampoing-proteines,Shampoing aux Protéines Trésor du Désert — Sans Sulfate 150ml,"Shampoing unique riche en protéines naturelles et herbes sahariennes rares. Nourrit le cheveu des racines aux pointes, répare les dommages, redonne brillance et souplesse. Sans sulfate, sans parabène. Convient à tous types de cheveux. 150ml.",https://www.dakhlaartisanal.com/produit/shampoing-proteines,https://www.dakhlaartisanal.com/images/shampoing-proteines-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Hair Care > Shampoo,no,MA,0.00 MAD
floro-calm-huile,Floro Calm Huile — Huile Chauffante Articulations et Muscles 100ml,"Mélange unique d'huiles naturelles sahariennes — Camphre, Ginseng et Poivre fort — pour soulager les douleurs articulaires et musculaires. Soulagement immédiat par massage. Améliore la flexibilité. 100% naturel sans produits chimiques. 100ml.",https://www.dakhlaartisanal.com/produit/floro-calm-huile,https://www.dakhlaartisanal.com/images/floro-calm-1.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Health Care > Pain Relief,no,MA,0.00 MAD
pack-floro-calm,Pack Floro Calm — Huile 100ml + Complément 60 Capsules Articulations,"Solution complète pour le bien-être des articulations et os. Combine l'Huile de Massage Floro Calm (100ml) et le Complément Alimentaire Floro Calm (60 capsules). Action synergique intérieure et extérieure. Soulage douleurs et renforce os. Économisez 59 DH.",https://www.dakhlaartisanal.com/produit/pack-floro-calm,https://www.dakhlaartisanal.com/images/floro-calm-pack-1.jpg,in stock,399.00 MAD,399.00 MAD,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
pack-anti-gris,Pack Anti-Gris Bin Black — Sérum 100ml + Shampoing 150ml,"Pack complet anti-gris combinant Sérum Anti-Gris (100ml) et Shampoing Anti-Gris (150ml). Restaure progressivement la couleur naturelle des cheveux. Enrichi en pigments naturels et actifs rénovateurs. Résultats visibles en 4 semaines. Économisez 109 DH.",https://www.dakhlaartisanal.com/produit/pack-anti-gris,https://www.dakhlaartisanal.com/images/pack-anti-gris.jpg,in stock,349.00 MAD,349.00 MAD,Dakhla Artisanal,new,Health & Beauty > Personal Care > Hair Care,no,MA,0.00 MAD
pack-feminite,Pack Féminité Duo — Capsules + Huile 60ml,"Pack complet combinant Capsules Féminité (60 caps) et Huile Féminité (60ml). Action complète intérieure et extérieure aux actifs botaniques précieux. Résultats visibles en 4 semaines. Formule 100% naturelle. Économisez 79 DH.",https://www.dakhlaartisanal.com/produit/pack-feminite,https://www.dakhlaartisanal.com/images/pack-feminite.jpg,in stock,379.00 MAD,379.00 MAD,Dakhla Artisanal,new,Health & Beauty > Health Care > Nutritional Supplements,no,MA,0.00 MAD
pack-anti-chute,Pack Anti-Chute Secret d'Atlas — Spray 100ml + Shampoing 150ml,"Pack complet anti-chute combinant Spray Anti-Chute (100ml) et Shampoing Anti-Chute (150ml). Formule aux extraits de romarin, menthe poivrée et caféine. Fortifie les racines et stimule la repousse. Résultats visibles en 3 semaines. Économisez 109 DH.",https://www.dakhlaartisanal.com/produit/pack-anti-chute,https://www.dakhlaartisanal.com/images/pack-anti-chute-1.jpg,in stock,349.00 MAD,349.00 MAD,Dakhla Artisanal,new,Health & Beauty > Personal Care > Hair Care,no,MA,0.00 MAD
eclarte,Eclarte Gel Intime — Aloe Vera Lavande Arbre à Thé pH Neutre 125ml,"Gel d'hygiène intime 100% naturel à pH neutre. Enrichi en Aloe vera, Huile de Lavande et Arbre à Thé. Nettoyage doux, hydratation profonde et fraîcheur durable. Sans sulfates, sans silicones. 125ml = 2 mois d'utilisation.",https://www.dakhlaartisanal.com/produit/eclarte,https://www.dakhlaartisanal.com/images/eclarte-3.jpg,in stock,229.00 MAD,,Dakhla Artisanal,new,Health & Beauty > Personal Care > Feminine Sanitary Supplies,no,MA,0.00 MAD
